Tx1,Tx2,Tx3,w,S11_1,S11_2,S11_3,Freq_1,Freq_2,Freq_3
12.0,7.5,3.0,16.0,-9.643274665532873e-16,-1.9286549331065747e-15,-9.643274665532873e-16,2.752,2.776,2.836
12.0,7.5,3.0,16.5,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.614,2.626,2.638
12.0,7.5,3.0,17.0,-17.30700245455203,-6.039854370905181,-10.809015401697774,4.354,6.874,8.5
12.0,7.5,3.0,17.5,-19.13322786792773,-5.801147565881659,-10.323161392126838,4.36,6.88,8.5
12.0,7.5,3.0,18.0,-21.592152556548967,-5.478095457853794,-9.69070791512858,4.372,6.886,8.5
12.0,7.5,3.0,18.5,-24.7783544106834,-5.238744435390417,-8.902825094641067,4.378,6.886,8.5
12.0,7.5,3.5,16.0,-16.184744126623794,-11.22438702947424,-25.413449880373307,4.264,6.712,8.386
12.0,7.5,3.5,16.5,-17.592210449312,-10.623953318431258,-22.015478080031343,4.282,6.7,8.379999999999999
12.0,7.5,3.5,17.0,-19.793495394224724,-10.082848563826545,-19.55881659230307,4.288,6.706,8.386
12.0,7.5,3.5,17.5,-22.30981664772346,-9.467616871459896,-17.735199352412284,4.3,6.718,8.398
12.0,7.5,3.5,18.0,-26.526078747102645,-8.998423364882912,-16.034834961829013,4.312,6.724,8.398
12.0,7.5,3.5,18.5,-29.29507308217529,-8.570287275988637,-14.637061954450424,4.312,6.724,8.398
12.0,7.5,4.0,16.0,-17.950977627042242,-19.81543547282224,-20.07368518390594,4.192,6.502,8.206
12.0,7.5,4.0,16.5,-19.89058419360795,-17.808342340717815,-18.65236440029295,4.21,6.502,8.224
12.0,7.5,4.0,17.0,-22.813874417923536,-15.86986797331511,-17.176853621870627,4.228,6.526,8.236
12.0,7.5,4.0,17.5,-27.552806031887137,-15.171050739115293,-15.747377119189244,4.234,6.514,8.23
12.0,7.5,4.0,18.0,-0.0187341774356724,-31.41492474707368,-14.665039065570785,2.542,4.228,6.508
12.0,7.5,4.0,18.5,-31.21795692079056,-13.185783883419884,-13.337523574472945,4.246,6.526,8.23
12.0,7.5,4.5,16.0,-20.677300452646897,-29.836524041187328,-16.319465734950924,4.132,6.298,8.08
12.0,7.5,4.5,16.5,-0.0647991956623151,-23.781137330536147,-46.505888247402,2.77,4.144,6.304
12.0,7.5,4.5,17.0,-28.984389215953254,-34.939562066648634,-13.741821864330024,4.156000000000001,6.304,8.097999999999999
12.0,7.5,4.5,17.5,-39.32737654011034,-28.25093030347628,-12.801237372095308,4.168,6.3100000000000005,8.097999999999999
12.0,7.5,4.5,18.0,-28.66761055178282,-23.056583966620924,-11.871760582529332,4.18,6.3100000000000005,8.097999999999999
12.0,7.5,4.5,18.5,-0.014501392238678,-9.643274665532873e-16,-9.643274665532873e-16,2.986,3.064,3.076
12.0,7.5,5.0,16.0,-26.378904402273168,-19.204103592732515,-12.286207844487793,4.1080000000000005,6.088,7.996
12.0,7.5,5.0,16.5,-29.50642818592436,-20.20345315799893,-11.340593110323791,4.114,6.082000000000001,7.984
12.0,7.5,5.0,17.0,-30.83204920858561,-22.477739218861544,-10.74502394969898,4.1080000000000005,6.052,7.936
12.0,7.5,5.0,17.5,-29.234975645698263,-25.75724392858447,-9.881074465923454,4.12,6.082000000000001,7.984
12.0,7.5,5.0,18.0,-22.801381750604413,-31.187322987988694,-9.431480846798149,4.126,6.093999999999999,7.99
12.0,7.5,5.0,18.5,-19.936987642478638,-34.4886017987502,-8.668056545789483,4.138,6.07,7.966
12.0,7.5,5.5,16.0,-28.89414090344594,-15.002771288756325,-9.187341886358375,4.078,5.854,7.906
12.0,7.5,5.5,16.5,-23.402492349313544,-16.07938953886666,-8.59537985286173,4.09,5.866,7.912
12.0,7.5,5.5,17.0,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.812,2.824,2.878
12.0,7.5,5.5,17.5,-18.293692986427093,-19.115639823249506,-7.51683003578823,4.1080000000000005,5.878,7.918
12.0,7.5,5.5,18.0,-17.099072814505462,-20.58595479584692,-7.000494992205968,4.096,5.854,7.894
12.0,7.5,5.5,18.5,-15.1182946581923,-23.757161701014947,-6.658800986324316,4.12,5.896,7.93
12.0,7.5,6.0,16.0,-1.3984310703078526,-7.821595373017768,-6.613959717132021,2.536,4.972,7.804
12.0,7.5,6.0,16.5,-1.2729815790798198,-8.234879190942921,-6.058783547615949,2.53,4.978,7.786
12.0,7.5,6.0,17.0,-1.174371801062585,-8.738793293570946,-5.779565888769861,2.542,5.008,7.798
12.0,7.5,6.0,17.5,-1.1341405374514166,-9.23714988183294,-5.287019674475992,2.548,5.026,7.816
12.0,7.5,6.0,18.0,-1.0985057497410369,-9.825077318991914,-4.917575729534638,2.542,5.026,7.804
12.0,7.5,6.0,18.5,-1.001267628842242,-10.417198911173156,-4.545231762357267,2.554,5.0440000000000005,7.822
12.0,8.0,3.0,16.0,-16.272378100705463,-9.817800029395986,-22.23639744485436,4.192,6.706,8.308
12.0,8.0,3.0,16.5,-17.96869617625475,-9.381588880760926,-19.888382999045888,4.204,6.718,8.314
12.0,8.0,3.0,17.0,-19.58221203154049,-8.975344523186097,-18.09302636236881,4.21,6.7,8.29
